fluid,coolprop,family,Tc_K,pc_MPa,omega,Zc_ref,Z_RA,Tr_min,Tr_anchor,c_VT_cm3mol,c_corr_cm3mol,c_zc_cm3mol
nitrogen,Nitrogen,Inorganic gases,126.19199999958556,3.395800444647145,0.0372,0.28938953387455807,0.2872957,0.510435843795228,0.7,-4.031887934679182,-3.5209876358541963,5.564790264498277
oxygen,Oxygen,Inorganic gases,154.59938983528554,5.046410521187217,0.0222,0.29424799790843503,0.28861195,0.5,0.7,-3.174749943734707,-3.03797618039085,3.3500497203971062
argon,Argon,Inorganic gases,150.68700000001058,4.863000544876669,-0.00219,0.2895001675152048,0.29075217249999996,0.5661594563565145,0.7,-3.4007664813699963,-3.290197413767422,4.611631746046532
carbon monoxide,CarbonMonoxide,Inorganic gases,132.85989463386605,3.498194666198884,0.0497,0.2918633793790606,0.286198825,0.5230216322076322,0.7,-4.0302847905536545,-3.4566776951422544,4.906148355563596
carbon dioxide,CarbonDioxide,Inorganic gases,304.1282000029807,7.377298373446752,0.22394,0.27458789801922406,0.270909265,0.7221733532039358,0.7221733532039358,-1.559884254969956,-1.3996798635965837,11.246763959602308
hydrogen sulfide,HydrogenSulfide,Inorganic gases,373.1008747131923,8.998871587082043,0.1005,0.28473114981584546,0.281741125,0.5130811041230807,0.7,-3.2705017129503062,-3.1250089945630846,7.81451249683116
methane,Methane,Alkanes,190.56400265128698,4.599200474282439,0.01142,0.2862900601415664,0.289557895,0.5,0.7,-4.114193609423451,-4.238396845779968,7.272432632776852
ethane,Ethane,Alkanes,305.3220000000155,4.872199977781725,0.099,0.27990190183894337,0.28187275,0.5,0.7,-4.418624760939635,-4.7528637139978835,14.327480831471876
propane,Propane,Alkanes,369.8900089509634,4.251165328013042,0.1521,0.27645926602905524,0.277213225,0.5,0.7,-4.940054397443124,-5.118681936544208,22.38357249317267
n-butane,n-Butane,Alkanes,425.125000000008,3.7960000174158095,0.200810094644,0.2737679306802091,0.272938914194989,0.5,0.7,-4.905503858646179,-4.784058816692728,31.31686020963476
isobutane,IsoButane,Alkanes,407.8100000000046,3.6290000166496337,0.183531783208,0.2758610674972168,0.274455086023498,0.5,0.7,-5.56820078925981,-5.448140782393344,29.468095969114003
n-pentane,n-Pentane,Alkanes,469.69999987111663,3.3675189836068755,0.251031912680427,0.26862805250429217,0.2685319496622925,0.5,0.7,-3.394136052074217,-3.5841676595407628,44.96372763473085
n-hexane,n-Hexane,Alkanes,507.8199998837351,3.044115323022376,0.3003189315498438,0.26645667753719615,0.2642070137565012,0.5,0.7,-2.5268502451742703,-1.4457960638004475,56.78922824378743
n-heptane,n-Heptane,Alkanes,541.2259150893126,2.773824280294774,0.349,0.2746315254910667,0.25993525,0.5,0.7,-1.1427629697523018,1.6401639016705472,53.16062117220816
n-octane,n-Octane,Alkanes,568.7399999458576,2.4835911977593486,0.39752829818330415,0.25859378140582345,0.25567689183441505,0.5,0.7,4.289286948107703,5.866951285131926,92.9272333453776
n-decane,n-Decane,Alkanes,617.6988452458754,2.101336691813891,0.4884,0.24948213242729447,0.2477029,0.5,0.7,11.74592385375835,17.113533405201462,141.55587356010122
cyclohexane,CycloHexane,Alkanes,553.6000188557726,4.080525879162136,0.20926,0.2749736625910168,0.272197435,0.5148229596841999,0.7,-6.354046950449388,-5.410537048276907,36.57733350565674
benzene,Benzene,Aromatics,562.0196911219722,4.906288781088225,0.2108369732700151,0.2690783272119474,0.27205905559555615,0.5058438367945383,0.7,-3.4225400936482124,-4.5075484768536045,36.49867245225541
toluene,Toluene,Aromatics,591.7490789362913,4.126346948595585,0.2657,0.2646502474269202,0.26724482499999996,0.5,0.7,-1.2954381034176459,-2.9626638115867157,50.97293489672419
ethylbenzene,EthylBenzene,Aromatics,617.1199997949194,3.6224421281439887,0.304,0.2575645481812739,0.263884,0.5,0.7,0.10375320229520711,-1.257911678927045,70.58960480489739
o-xylene,o-Xylene,Aromatics,630.259003064399,3.7374597566424326,0.312,0.2656806993635728,0.26318199999999997,0.5,0.7,0.1230391938557198,-0.7741615046321672,58.49432552418238
m-xylene,m-Xylene,Aromatics,616.890000360268,3.5345990782215013,0.326,0.2585874355140453,0.2619535,0.5,0.7,2.7372466688613057,0.054482733411739336,70.83263216823615
p-xylene,p-Xylene,Aromatics,616.1680019419451,3.5315210522526908,0.324,0.2558847234675383,0.262129,0.5,0.7,2.252258849392961,-0.06794107295781271,74.73216470832791
water,Water,Polar/associating,647.0959999999873,22.063999999997755,0.3442920843,0.2294384527424684,0.260348369602675,0.5,0.7,4.345397806591928,0.19783316062192635,19.01074345526031
methanol,Methanol,Polar/associating,513.3795127230579,8.215853274947687,0.5649374879079412,0.21909373318154357,0.24098673543607815,0.5,0.7,6.8885811205116685,5.3668275288793,45.878749181869374
ethanol,Ethanol,Polar/associating,514.7092848812961,6.267914582702095,0.644,0.24695733237378467,0.23404899999999998,0.5,0.7,3.169217879670004,9.405397579010142,41.26831547574958
acetone,Acetone,Polar/associating,508.10000903114974,4.6924165561745,0.3071,0.23633372249693255,0.263611975,0.5,0.7,10.496113315657071,-0.682420892843979,63.980907629238175
ammonia,Ammonia,Polar/associating,405.55999997326353,11.363391157414673,0.2556905229865023,0.24605087894395805,0.2681231566079344,0.5,0.7,3.1284561563703646,-0.8601213830970774,18.20495827709119
R-32,R32,Refrigerants,351.25500044943203,5.782645093949692,0.2769,0.2429448812695383,0.266262025,0.5,0.7,6.084508328246532,-1.0201440473752517,32.552741894591726
R-125,R125,Refrigerants,339.1772824561048,3.6182760556197304,0.3052,0.26856267237731896,0.2637787,0.5186425563372659,0.7,-2.482332517114315,-0.6529270873216453,30.269732411701913
R-134a,R134a,Refrigerants,374.2119665849513,4.059276373791066,0.32684,0.2600218012751801,0.26187979,0.5,0.7,1.0322135532409948,0.05595190825610254,36.31464312144044
R-1234yf,R1234yf,Refrigerants,367.84999999994756,3.3843736955661092,0.276,0.26472629635566347,0.266341,0.5,0.7,-0.839519067817059,-1.859213957746062,38.56443485652126
